"Table 320. Average undergraduate tuition and fees and room and board rates charged for full-time students in degree-granting institutions, by type and control ",,,,,,,,,,,,,,,,,,,,,
           of institution: 1964-65 through 2006-07         ,,,,,,,,,,,,,,,,,,,,,
[In current dollars],,,,,,,,,,,,,,,,,,,,,
Year and control of institution,"Total tuition, room, and board",,,,,Tuition and required fees (in-state for public institutions),,,,,Dormitory rooms,,,,,Board (7-day basis)\1\,,,,,
,All insti-tutions,4-year institutions,,,2-year,All insti-tutions,4-year institutions,,,2-year,All insti-tutions,4-year institutions,,,2-year,All insti-tutions,4-year institutions,,,2-year,
,,All 4-year,Univer-sities,Other 4-year,,,All 4-year,Univer-sities,Other 4-year,,,All 4-year,Univer-sities,Other 4-year,,,All 4-year,Univer-sities,Other 4-year,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,
All institutions,,,,,,,,,,,,,,,,,,,,,
1976-77 .....................,"$2,275","$2,577","$2,647","$2,527","$1,598",$924,"$1,218","$1,210","$1,223",$346,$603,$611,$649,$584,$503,$748,$748,$788,$719,$750,
1977-78 ......................,"2,411","2,725","2,777","2,685","1,703",984,"1,291","1,269","1,305",378,645,654,691,628,525,781,780,818,752,801,
1978-79 ......................,"2,587","2,917","2,967","2,879","1,828","1,073","1,397","1,370","1,413",411,688,696,737,667,575,826,825,860,800,842,
1979-80 .................,"2,809","3,167","3,223","3,124","1,979","1,163","1,513","1,484","1,530",451,751,759,803,729,628,895,895,936,865,900,
1980-81 ................,"3,101","3,499","3,535","3,469","2,230","1,289","1,679","1,634","1,705",526,836,846,881,821,705,976,975,"1,020",943,"1,000",
,,,,,,,,,,,,,,,,,,,,,
1981-82 ................,"3,489","3,951","4,005","3,908","2,476","1,457","1,907","1,860","1,935",590,950,961,"1,023",919,793,"1,083","1,082","1,121","1,055","1,094",
1982-83 ................,"3,877","4,406","4,466","4,356","2,713","1,626","2,139","2,081","2,173",675,"1,064","1,078","1,150","1,028",873,"1,187","1,189","1,235","1,155","1,165",
1983-84 .....................,"4,167","4,747","4,793","4,712","2,854","1,783","2,344","2,300","2,368",730,"1,145","1,162","1,211","1,130",916,"1,239","1,242","1,282","1,214","1,208",
1984-85 .....................,"4,563","5,160","5,236","5,107","3,179","1,985","2,567","2,539","2,583",821,"1,267","1,282","1,343","1,242","1,058","1,310","1,311","1,353","1,282","1,301",
1985-86\2\ ..................,"4,885","5,504","5,597","5,441","3,367","2,181","2,784","2,770","2,793",888,"1,338","1,355","1,424","1,309","1,107","1,365","1,365","1,403","1,339","1,372",
,,,,,,,,,,,,,,,,,,,,,
1986-87 .....................,"5,206","5,964","6,124","5,857","3,295","2,312","3,042","3,042","3,042",897,"1,405","1,427","1,501","1,376","1,034","1,489","1,495","1,581","1,439","1,364",
1987-88 ......................,"5,494","6,272","6,339","6,226","3,263","2,458","3,201","3,168","3,220",809,"1,488","1,516","1,576","1,478","1,017","1,549","1,555","1,596","1,529","1,437",
1988-89 ......................,"5,869","6,725","6,801","6,673","3,573","2,658","3,472","3,422","3,499",979,"1,575","1,609","1,665","1,573","1,085","1,636","1,644","1,715","1,601","1,509",
1989-90 .................,"6,207","7,212","7,347","7,120","3,705","2,839","3,800","3,765","3,819",978,"1,638","1,675","1,732","1,638","1,105","1,730","1,737","1,850","1,663","1,622",
1990-91 ...................,"6,562","7,602","7,709","7,528","3,930","3,016","4,009","3,958","4,036","1,087","1,743","1,782","1,848","1,740","1,182","1,802","1,811","1,903","1,751","1,660",
,,,,,,,,,,,,,,,,,,,,,
1991-92 .................,"7,077","8,238","8,390","8,142","4,092","3,286","4,385","4,368","4,394","1,189","1,874","1,921","1,996","1,875","1,210","1,918","1,931","2,026","1,872","1,692",
1992-93 .................,"7,452","8,758","8,934","8,648","4,207","3,517","4,752","4,665","4,795","1,276","1,939","1,991","2,104","1,926","1,240","1,996","2,015","2,165","1,927","1,692",
1993-94 .................,"7,931","9,296","9,495","9,186","4,449","3,827","5,119","5,104","5,127","1,399","2,057","2,111","2,190","2,068","1,332","2,047","2,067","2,201","1,992","1,718",
1994-95 .................,"8,306","9,728","9,863","9,646","4,633","4,044","5,391","5,287","5,441","1,488","2,145","2,200","2,281","2,155","1,396","2,116","2,138","2,295","2,049","1,750",
1995-96 ......................,"8,800","10,330","10,560","10,195","4,725","4,338","5,786","5,733","5,812","1,522","2,264","2,318","2,423","2,260","1,473","2,199","2,226","2,404","2,123","1,730",
,,,,,,,,,,,,,,,,,,,,,
1996-97 ......................,"9,206","10,841","11,033","10,726","4,895","4,564","6,118","6,055","6,150","1,543","2,365","2,422","2,518","2,368","1,522","2,276","2,301","2,460","2,208","1,830",
1997-98 .................,"9,588","11,277","11,382","11,205","5,192","4,755","6,351","6,232","6,408","1,695","2,444","2,507","2,575","2,469","1,598","2,389","2,419","2,576","2,327","1,900",
1998-99 ......................,"10,076","11,888","12,123","11,752","5,291","5,013","6,723","6,713","6,728","1,725","2,557","2,626","2,710","2,578","1,616","2,506","2,540","2,700","2,446","1,950",
1999-2000 ......................,"10,444","12,352","12,613","12,198","5,408","5,238","7,044","7,026","7,052","1,721","2,682","2,749","2,845","2,695","1,733","2,524","2,559","2,741","2,451","1,954",
2000-01 .................,"10,818","12,922","13,177","12,775","5,460","5,377","7,372","7,360","7,377","1,698","2,819","2,893","2,999","2,833","1,744","2,622","2,658","2,818","2,565","2,017",
,,,,,,,,,,,,,,,,,,,,,
2001-02 ......................,"11,380","13,639","13,942","13,468","5,718","5,646","7,786","7,788","7,785","1,800","2,981","3,060","3,184","2,992","1,848","2,753","2,793","2,970","2,692","2,070",
2002-03 .....................,"12,014","14,439","14,827","14,233","6,252","6,002","8,309","8,406","8,264","1,903","3,179","3,263","3,377","3,201","2,077","2,832","2,867","3,044","2,767","2,272",
2003-04\3\ .................,"12,953","15,505","16,096","15,205","6,705","6,608","9,029","9,268","8,924","2,174","3,359","3,448","3,599","3,368","2,208","2,986","3,028","3,230","2,914","2,322",
2004-05 .................,"13,792","16,509","17,219","16,164","7,086","7,122","9,706","10,051","9,559","2,338","3,569","3,661","3,813","3,582","2,336","3,100","3,142","3,355","3,023","2,413",
2005-06 .................,"14,629","17,447","18,229","17,075","7,231","7,601","10,279","10,666","10,119","2,417","3,804","3,899","4,050","3,821","2,396","3,224","3,269","3,513","3,135","2,418",
2006-07\4\ .................,"15,434","18,445","19,232","18,076","7,497","8,055","10,913","11,338","10,738","2,511","4,011","4,111","4,257","4,035","2,534","3,368","3,421","3,637","3,302","2,451",
,,,,,,,,,,,,,,,,,,,,,
Public insti-,,,,,,,,,,,,,,,,,,,,,
   tutions,,,,,,,,,,,,,,,,,,,,,
1964-65 ......................,950,   ---,"1,051",867,638,243,   ---,298,224,99,271,   ---,291,241,178,436,   ---,462,402,361,
1965-66 ........................,983,   ---,"1,105",904,670,257,   ---,327,241,109,281,   ---,304,255,194,445,   ---,474,408,367,
1966-67 .......................,"1,026",   ---,"1,171",947,710,275,   ---,360,259,121,294,   ---,321,271,213,457,   ---,490,417,376,
1967-68 .....................,"1,064",   ---,"1,199",997,789,283,   ---,366,268,144,313,   ---,337,292,243,468,   ---,496,437,402,
1968-69 .....................,"1,117",   ---,"1,245","1,063",883,295,   ---,377,281,170,337,   ---,359,318,278,485,   ---,509,464,435,
,,,,,,,,,,,,,,,,,,,,,
1969-70 .....................,"1,203",   ---,"1,362","1,135",951,323,   ---,427,306,178,369,   ---,395,346,308,511,   ---,540,483,465,
1970-71 .................,"1,287",   ---,"1,477","1,206",998,351,   ---,478,332,187,401,   ---,431,375,338,535,   ---,568,499,473,
1971-72 .....................,"1,357",   ---,"1,579","1,263","1,073",376,   ---,526,354,192,430,   ---,463,400,366,551,   ---,590,509,515,
1972-73 .................,"1,458",   ---,"1,668","1,460","1,197",407,   ---,566,455,233,476,   ---,500,455,398,575,   ---,602,550,566,
1973-74 ....................,"1,517",   ---,"1,707","1,506","1,274",438,   ---,581,463,274,480,   ---,505,464,409,599,   ---,621,579,591,
,,,,,,,,,,,,,,,,,,,,,
1974-75 ......................,"1,563",   ---,"1,760","1,558","1,339",432,   ---,599,448,277,506,   ---,527,497,424,625,   ---,634,613,638,
1975-76 .....................,"1,666",   ---,"1,935","1,657","1,386",433,   ---,642,469,245,544,   ---,573,533,442,689,   ---,720,655,699,
1976-77 .....................,"1,789","1,935","2,067","1,827","1,491",479,617,689,564,283,582,592,614,572,465,728,727,763,692,742,
1977-78 ......................,"1,888","2,038","2,170","1,931","1,590",512,655,736,596,306,621,631,649,616,486,755,752,785,720,797,
1978-79 ......................,"1,994","2,145","2,289","2,027","1,691",543,688,777,622,327,655,664,689,641,527,796,793,823,764,837,
,,,,,,,,,,,,,,,,,,,,,
1979-80 ......................,"2,165","2,327","2,487","2,198","1,822",583,738,840,662,355,715,725,750,703,574,867,865,898,833,893,
1980-81 .....................,"2,373","2,550","2,712","2,421","2,027",635,804,915,722,391,799,811,827,796,642,940,936,969,904,994,
1981-82 .....................,"2,663","2,871","3,079","2,705","2,224",714,909,"1,042",813,434,909,925,970,885,703,"1,039","1,036","1,067","1,006","1,086",
1982-83 .....................,"2,945","3,196","3,403","3,032","2,390",798,"1,031","1,164",936,473,"1,010","1,030","1,072",993,755,"1,136","1,134","1,167","1,103","1,162",
1983-84 .....................,"3,156","3,433","3,628","3,285","2,534",891,"1,148","1,284","1,052",528,"1,087","1,110","1,131","1,092",801,"1,178","1,175","1,213","1,141","1,205",
,,,,,,,,,,,,,,,,,,,,,
1984-85 .....................,"3,408","3,682","3,899","3,518","2,807",971,"1,228","1,386","1,117",584,"1,196","1,217","1,237","1,200",921,"1,241","1,237","1,276","1,201","1,302",
1985-86\2\ .......................,"3,571","3,859","4,146","3,637","2,981","1,045","1,318","1,536","1,157",641,"1,242","1,263","1,290","1,240",960,"1,285","1,278","1,320","1,240","1,380",
1986-87 ..................…,"3,805","4,138","4,469","3,891","2,989","1,106","1,414","1,651","1,248",660,"1,301","1,323","1,355","1,295",979,"1,398","1,401","1,464","1,348","1,349",
1987-88 ...........................,"4,050","4,403","4,619","4,250","3,066","1,218","1,537","1,726","1,407",706,"1,378","1,410","1,410","1,409",943,"1,454","1,456","1,482","1,434","1,417",
1988-89 .........................,"4,274","4,678","4,905","4,526","3,183","1,285","1,646","1,846","1,515",730,"1,457","1,496","1,483","1,506",965,"1,533","1,536","1,576","1,504","1,488",
,,,,,,,,,,,,,,,,,,,,,
1989-90 ......................,"4,504","4,975","5,324","4,723","3,299","1,356","1,780","2,035","1,608",756,"1,513","1,557","1,561","1,554",962,"1,635","1,638","1,728","1,561","1,581",
1990-91 ......................,"4,757","5,243","5,585","5,004","3,467","1,454","1,888","2,159","1,707",824,"1,612","1,657","1,658","1,655","1,050","1,691","1,698","1,767","1,641","1,594",
1991-92 ......................,"5,138","5,693","6,050","5,458","3,623","1,628","2,117","2,409","1,931",936,"1,731","1,785","1,789","1,782","1,074","1,780","1,792","1,852","1,745","1,612",
1992-93 ......................,"5,379","6,020","6,442","5,740","3,799","1,782","2,349","2,604","2,192","1,025","1,756","1,816","1,856","1,787","1,106","1,841","1,854","1,982","1,761","1,668",
1993-94 ...........................,"5,694","6,365","6,710","6,146","3,996","1,942","2,537","2,820","2,360","1,125","1,873","1,934","1,897","1,958","1,190","1,880","1,895","1,993","1,828","1,681",
,,,,,,,,,,,,,,,,,,,,,
1994-95 ............................,"5,965","6,670","7,077","6,409","4,137","2,057","2,681","2,977","2,499","1,192","1,959","2,023","1,992","2,044","1,232","1,949","1,967","2,108","1,866","1,712",
1995-96 ...........................,"6,256","7,014","7,448","6,730","4,217","2,179","2,848","3,151","2,660","1,239","2,057","2,121","2,104","2,133","1,297","2,020","2,045","2,192","1,937","1,681",
1996-97 .......................,"6,530","7,334","7,792","7,035","4,404","2,271","2,987","3,323","2,778","1,276","2,148","2,214","2,187","2,232","1,339","2,111","2,133","2,282","2,025","1,789",
1997-98 ...........................,"6,813","7,673","8,210","7,318","4,509","2,360","3,110","3,486","2,877","1,314","2,225","2,301","2,285","2,312","1,401","2,228","2,263","2,438","2,130","1,795",
1998-99 .......................,"7,107","8,027","8,625","7,631","4,604","2,430","3,229","3,640","2,974","1,327","2,330","2,409","2,408","2,410","1,450","2,347","2,389","2,576","2,247","1,828",
,,,,,,,,,,,,,,,,,,,,,
